"","name","city","country","region","members","fullurl","created","past_events","upcoming_events"
"1","R-Ladies Barcelona","Barcelona","Spain","Europe",595,"https://www.meetup.com/rladies-barcelona/",2016-10-22,19,0
"2","R-Ladies Bilbao","Bilbao","Spain","Europe",189,"https://www.meetup.com/rladies-bilbao/",2019-02-27,4,0
"3","R-Ladies Tucson AZ","Tucson","USA","US/Canada",356,"https://www.meetup.com/rladies-tucson-az/",2017-11-14,44,2
"4","R-Ladies Bariloche","San Carlos de Bariloche","Argentina","Latin America",279,"https://www.meetup.com/rladies-bariloche/",2018-05-10,13,0
"5","R-Ladies Porto Alegre","Porto Alegre","Brazil","Latin America",355,"https://www.meetup.com/rladies-porto-alegre/",2017-10-30,7,0
"6","R-Ladies Melbourne","Melbourne","Australia","Australia",1742,"https://www.meetup.com/rladies-melbourne/",2016-09-02,61,0
"7","R-Ladies Guayaquil","Guayaquil","Ecuador","Latin America",545,"https://www.meetup.com/rladies-guayaquil/",2018-04-05,7,0
"8","R-Ladies Kansas City","Kansas City","USA","US/Canada",64,"https://www.meetup.com/rladies-kansas-city/",2019-07-19,4,0
"9","R-Ladies Canberra","Canberra","Australia","Australia",207,"https://www.meetup.com/rladies-canberra/",2018-12-10,13,0
"10","R-Ladies Johannesburg","Johannesburg","South Africa","Africa",759,"https://www.meetup.com/rladies-johannesburg/",2018-02-26,28,0
"11","R-Ladies Madrid","Madrid","Spain","Europe",1633,"https://www.meetup.com/rladies-madrid/",2016-09-02,41,0
"12","R-Ladies Puebla","Puebla","Mexico","Latin America",215,"https://www.meetup.com/rladies-puebla/",2019-07-19,5,1
"13","R-Ladies San Diego","San Diego","USA","US/Canada",614,"https://www.meetup.com/rladies-san-diego/",2017-06-16,34,1
"14","R-Ladies Novi Sad","Novi Sad","Serbia","Europe",139,"https://www.meetup.com/rladies-novi-sad/",2019-05-24,6,0
"15","R-Ladies Frankfurt","Frankfurt","Germany","Europe",99,"https://www.meetup.com/rladies-frankfurt/",2019-02-27,9,0
"16","R-Ladies Highland Park","Highland Park","USA","US/Canada",70,"https://www.meetup.com/rladies-highland-park/",2019-05-09,4,0
"17","R-Ladies Quito","Quito","Ecuador","Latin America",809,"https://www.meetup.com/rladies-quito/",2017-07-18,10,0
"18","R-Ladies Houston","Houston","USA","US/Canada",95,"https://www.meetup.com/rladies-houston/",2018-12-07,0,0
"19","R-Ladies Riverside","Riverside","USA","US/Canada",352,"https://www.meetup.com/rladies-riverside/",2019-08-02,8,0
"20","R-Ladies Santa Barbara","Santa Barbara","USA","US/Canada",440,"https://www.meetup.com/rladies-santa-barbara/",2018-01-26,14,0
"21","R-Ladies Freiburg","Freiburg","Germany","Europe",436,"https://www.meetup.com/rladies-freiburg/",2019-01-23,33,7
"22","R-Ladies Edinburgh","Edinburgh","United Kingdom","Europe",571,"https://www.meetup.com/rladies-edinburgh/",2018-07-27,15,1
"23","R-Ladies Seattle","Seattle","USA","US/Canada",840,"https://www.meetup.com/rladies-seattle/",2017-11-08,34,1
"24","R-Ladies East Lansing","East Lansing","USA","US/Canada",524,"https://www.meetup.com/rladies-east-lansing/",2017-12-09,26,3
"25","R-Ladies Bucharest","Bucharest","Romania","Europe",241,"https://www.meetup.com/rladies-bucharest/",2019-05-09,16,1
"26","R-Ladies Athens","Athens","USA","US/Canada",43,"https://www.meetup.com/rladies-athens-ga/",2019-08-31,3,0
"27","R-Ladies Fayetteville","Fayetteville","USA","US/Canada",120,"https://www.meetup.com/rladies-fayetteville/",2019-07-27,11,0
"28","R-Ladies Belgrade","Belgrade","Serbia","Europe",457,"https://www.meetup.com/rladies-belgrade/",2017-09-15,23,0
"29","R-Ladies Lyon","Lyon","France","Europe",80,"https://www.meetup.com/rladies-lyon/",2018-10-29,4,0
"30","R-Ladies Lausanne","Lausanne","Switzerland","Europe",318,"https://www.meetup.com/rladies-lausanne/",2017-12-02,12,0
"31","R-Ladies Vienna","Vienna","Austria","Europe",216,"https://www.meetup.com/rladies-vienna/",2018-09-17,10,0
"32","R-Ladies London","London","United Kingdom","Europe",1547,"https://www.meetup.com/rladies-london/",2016-01-31,55,0
"33","R-Ladies Nijmegen","Nijmegen","Netherlands","Europe",345,"https://www.meetup.com/rladies-nijmegen/",2018-05-05,12,0
"34","R-Ladies Salvador","Salvador","Brazil","Latin America",231,"https://www.meetup.com/rladies-salvador/",2018-07-23,6,0
"35","R-Ladies Newcastle","Newcastle Upon Tyne","United Kingdom","Europe",263,"https://www.meetup.com/rladies-newcastle/",2019-02-27,10,0
"36","R-Ladies Kyiv","Kyiv","Ukraine","Europe",300,"https://www.meetup.com/rladies-kyiv/",2019-02-15,15,0
"37","R-Ladies Stockholm","Stockholm","Sweden","Europe",380,"https://www.meetup.com/rladies-stockholm/",2018-08-16,7,0
"38","R-Ladies Iowa City","Iowa City","USA","US/Canada",109,"https://www.meetup.com/rladies-iowa-city/",2018-09-18,5,0
