"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"1","Customer Data Science LA","Santa Monica","USA","US/Canada",611,"https://www.meetup.com/Customer-Data-Science-LA/",2019-06-20,11,1,"public_limited",2020-06-25
"2","ODSC Vancouver Data Science","Vancouver","Canada","US/Canada",208,"https://www.meetup.com/ODSC-Vancouver-Data-Science/",2019-11-22,10,4,"public",2020-07-15
"3","ODSC Denver Data Science","Denver","USA","US/Canada",117,"https://www.meetup.com/ODSC-Denver-Data-Science/",2019-11-22,14,4,"public",2020-07-15
"4","Ulmer Data Science Stammtisch","Ulm","Germany","Europe",395,"https://www.meetup.com/Ulmer-Data-Science-Stammtisch/",2017-12-06,10,0,"public",2019-11-25
"5","Clarksville Data Science and R Users Meetup Group","Clarksville","USA","US/Canada",25,"https://www.meetup.com/Clarksville-Data-Science-and-R-Users-Meetup-Group/",2019-06-13,2,0,"public",2019-08-11
"6","Eskisehir R Users Group & ESTÜ Veri Bilimi Kulübü","Eskisehir","Turkey","Europe",37,"https://www.meetup.com/Eskisehir-R-Users-Group-Data-Science-Society/",2020-02-28,1,0,"public",2020-07-07
"7","FREE ! Learn R for Big Data / Data Science","London","United Kingdom","Europe",762,"https://www.meetup.com/Learn-R-for-Big-Data/",2018-08-31,36,1,"public",2020-07-09
"8","Bangalore Data Science and Analytics Using R Meetup","Bangalore","India","Asia",216,"https://www.meetup.com/Bangalore-Data-Science-and-Analytics-Using-R-Meetup/",2018-11-09,0,0,"public",1970-01-01
"9","Mad Over Data | Bangalore","Bangalore","India","Asia",340,"https://www.meetup.com/Mad-Over-Data-Bangalore/",2020-01-23,3,0,"public",2020-07-03
"10","Mad Over Data | Mumbai","Mumbai","India","Asia",170,"https://www.meetup.com/Mad-Over-Data/",2020-01-02,2,0,"public",2020-06-30
"11","Mad Over Data | Delhi NCR","Delhi","India","Asia",347,"https://www.meetup.com/Mad-Over-Data-Delhi-NCR/",2020-01-07,4,0,"public",2020-07-03
"12","BerlinR - an R group focused on modern data science","Berlin","Germany","Europe",636,"https://www.meetup.com/BerlinR-R-users-group/",2018-10-23,8,0,"public",2020-02-05
"13","Greater Cleveland Python/Julia/R Data Science Group","Cleveland","USA","US/Canada",593,"https://www.meetup.com/Greater-Cleveland-SciPy-Julia-R-Data-Science-Group/",2016-03-12,33,0,"public_limited",2019-08-03
"14","Analytics, Data Science  & ML- R, Python,Tableau & Power BI","Bangalore","India","Asia",3615,"https://www.meetup.com/Analytics-Data-Science-R-Tableau-Power-BI/",2017-10-29,35,0,"public",2018-10-20
"15","Master Cohorts","Nairobi","Kenya","Africa",230,"https://www.meetup.com/Master-Data-Science/",2020-04-03,1,0,"public",2020-04-25
"16","LA R users group","Santa Monica","USA","US/Canada",2213,"https://www.meetup.com/Los-Angeles-R-Users-Group-Data-Science/",2009-03-21,115,0,"public",2020-07-01
"17","R User Group Eindhoven","Eindhoven","Netherlands","Europe",85,"https://www.meetup.com/R-User-Group-Eindhoven/",2019-02-28,8,0,"public",2020-04-19
"18","Las Vegas R User Group","Las Vegas","USA","US/Canada",26,"https://www.meetup.com/Las-Vegas-R-User-Group/",2018-09-28,0,0,"public",1970-01-01
"19","Montreal R User Group","Montréal","Canada","US/Canada",1621,"https://www.meetup.com/Montreal-R-User-Group/",2012-03-13,65,7,"public",2020-07-15
